ticker,price,market_cap_b,avg_volume,beta,options_volume,open_interest,implied_vol,avg_premium_pct,annual_premium,dte,quality_score,capital_per_contract,category,subcategory
CRWD,527.32,132.333666304,3036537,1.188,2.6666666666666665,0.0,3.658633877840909,0.0,0.0,38,80,52732.00000000001,TECH,Software
ORCL,283.33,807.715078144,22242560,1.531,13.833333333333334,0.0,4.037417968750001,0.0,0.0,38,80,28333.0,TECH,Software
HD,386.68,384.896106496,3466265,1.001,1.3333333333333333,0.0,3.1910722656250003,0.0,0.0,38,80,38668.0,SP500_HIGH_LIQUIDITY,Consumer
BLK,1136.63,176.291315712,557537,1.462,1.0,0.0,6.250937500000001,0.0,0.0,38,80,113663.00000000001,SP500_HIGH_LIQUIDITY,Financials
AXP,357.56,246.305800192,2587350,1.294,4.5,0.0,3.2822171875,0.0,0.0,38,80,35756.0,SP500_HIGH_LIQUIDITY,Financials
MS,163.86,260.701274112,5318626,1.324,9.0,0.0,4.688453125,0.0,0.0,38,80,16386.0,SP500_HIGH_LIQUIDITY,Financials
DELL,158.64,106.320560128,6810698,1.126,3.0,0.0,3.5165898437499994,0.0,0.0,38,80,15863.999999999998,TECH,Hardware
C,98.78,176.747053056,13883275,1.357,7.833333333333333,0.0,3.8095556640625,0.0,0.0,38,80,9878.0,SP500_HIGH_LIQUIDITY,Financials
BAC,52.57,385.307705344,34402357,1.334,6.4,0.0,3.9072109375000004,0.0,0.0,38,80,5257.0,SP500_HIGH_LIQUIDITY,Financials
JPM,300.44,817.85782272,8162004,1.127,2.2,0.0,3.4189345703125005,0.0,0.0,38,80,30044.0,SP500_HIGH_LIQUIDITY,Financials
MU,219.02,245.842526208,23249435,1.567,34.5,0.0,4.29783203125,0.0,0.0,38,80,21902.0,TECH,Semiconductors
ANET,153.82,193.331052544,9166543,1.475,8.2,0.0,4.063459375000001,0.0,0.0,38,80,15382.0,TECH,Networking
QCOM,168.94,182.286270464,7944110,1.227,7.0,0.0,3.9072109375000004,0.0,0.0,38,80,16894.0,TECH,Semiconductors
RIO,70.54,114.991972352,3254350,0.635,181.0,0.0,3.3863828125000004,0.0,0.0,24,80,7054.000000000001,METALS,Mining
NFLX,1094.69,463.855517696,3306293,1.593,10.166666666666666,0.0,3.2287637746710534,0.0,0.0,38,80,109469.0,SP500_HIGH_LIQUIDITY,Telecom/Media
CMCSA,29.28,108.107808768,23873418,0.941,42.0,0.0,1.95410546875,0.0,0.0,38,80,2928.0,SP500_HIGH_LIQUIDITY,Telecom/Media
DIS,111.68,200.793243648,8176015,1.542,27.0,0.0,4.167625,0.0,0.0,38,80,11168.0,SP500_HIGH_LIQUIDITY,Telecom/Media
HON,216.14,137.224527872,4089587,1.049,2.0,0.0,2.73534765625,0.0,0.0,38,80,21614.0,SP500_HIGH_LIQUIDITY,Industrials
GE,303.87,320.526286848,4067662,1.493,5.5,0.0,2.9697203125,0.0,0.0,38,80,30387.0,SP500_HIGH_LIQUIDITY,Industrials
CAT,522.73,244.887977984,3026185,1.465,1.0,0.0,3.12596875,0.0,0.0,38,80,52273.0,SP500_HIGH_LIQUIDITY,Industrials
CSCO,70.63,279.214292992,19387470,0.966,13.0,0.0,2.8655546875000004,0.0,0.0,38,80,7063.0,TECH,Networking
BHP,55.62,143.044476928,3187604,0.711,22.5,0.0,3.9072109375000004,0.0,0.0,24,80,5562.0,METALS,Mining
META,738.36,1854.86475264,11920231,1.203,8.222222222222221,0.0,3.8170676081730774,0.0,0.0,38,80,73836.0,TECH,Mega Cap
TSLA,433.72,1442.47422976,87002942,2.086,115.625,0.0,3.2236240234375004,0.0,0.0,38,80,43372.0,TECH,Mega Cap
AMD,252.92,410.449608704,63309556,1.894,83.6,0.0,3.9072109375000004,0.0,0.0,38,80,25292.0,TECH,Semiconductors
PFE,24.76,140.774227968,49212487,0.465,19.0,0.0,4.688453125,0.0,0.0,38,75,2476.0,SP500_HIGH_LIQUIDITY,Healthcare
SLV,43.99,15.02038528,30874090,1.0,39.875,0.0,4.2001767578125,0.0,0.0,38,75,4399.0,METALS,Precious Metals
SCHW,94.42,171.393007616,8993296,0.966,3.5,0.0,2.3447265625,0.0,0.0,38,75,9442.0,SP500_HIGH_LIQUIDITY,Financials
UPS,87.22,73.925025792,8493429,1.078,27.25,0.0,4.37595625,0.0,0.0,38,75,8722.0,SP500_HIGH_LIQUIDITY,Industrials
LOW,242.71,136.117813248,2813548,0.88,5.5,0.0,1.95410546875,0.0,0.0,38,75,24271.0,SP500_HIGH_LIQUIDITY,Consumer
VZ,38.82,163.677732864,20746564,0.366,58.5,0.0,2.3447265625,0.0,0.0,38,75,3882.0,SP500_HIGH_LIQUIDITY,Telecom/Media
TMUS,217.77,243.577192448,4206000,0.583,12.0,0.0,3.3212792968750002,0.0,0.0,38,75,21777.0,SP500_HIGH_LIQUIDITY,Telecom/Media
COST,932.14,413.10502912,2321729,0.964,3.142857142857143,0.0,3.6281958705357145,0.0,0.0,38,75,93214.0,SP500_HIGH_LIQUIDITY,Consumer
CVX,155.56,313.42575616,7523982,0.813,6.0,0.0,1.7587949218749999,0.0,0.0,38,75,15556.0,SP500_HIGH_LIQUIDITY,Energy
IWM,249.43,70.102294528,37120329,1.0,22.88888888888889,0.0,3.658021619073276,0.0,0.0,38,75,24943.0,SP500_HIGH_LIQUIDITY,ETFs
UNH,362.5,328.306688,14739092,0.478,45.714285714285715,0.0,3.404983816964285,0.0,0.0,38,75,36250.0,SP500_HIGH_LIQUIDITY,Healthcare
GLD,377.52,98.268454912,15364373,1.0,79.62962962962963,0.0,2.6983060008081905,0.0,0.0,38,75,37752.0,METALS,Precious Metals
AMAT,228.75,182.231957504,8273693,1.814,1.75,0.0,3.5165898437499994,0.0,0.0,38,75,22875.0,TECH,Semiconductors
STLD,152.95,22.336032768,1283767,1.411,21.0,0.0,4.6884531250000006,0.0,0.0,24,75,15294.999999999998,METALS,Steel/Copper
SHOP,172.95,224.953434112,7848476,2.726,37.166666666666664,0.0,3.6793486328125,0.0,0.0,38,75,17295.0,TECH,Cloud/SaaS
NOW,930.17,193.027948544,1505182,0.923,5.5,0.0,2.350830017089844,0.0,0.0,38,75,93017.0,TECH,Software
RS,277.13,14.516900864,340448,0.865,189.0,0.0,5.20928125,0.0,0.0,24,75,27713.0,METALS,Steel/Copper
PANW,217.11,146.955436032,8135059,0.974,3.5,0.0,3.3863828125000004,0.0,0.0,38,75,21711.0,TECH,Software
PLTR,184.63,438.00559616,62440182,2.595,11.333333333333334,0.0,3.646796875,0.0,0.0,38,75,18463.0,TECH,Software
NVDA,186.26,4534.872047616,173456453,2.123,85.5,0.0,3.3212792968750002,0.0,0.0,38,75,18626.0,TECH,Mega Cap
LRCX,151.68,190.991794176,11906864,1.841,2.857142857142857,0.0,4.465241071428572,0.0,0.0,38,75,15168.0,TECH,Semiconductors
SNOW,257.94,87.390068736,5515875,1.207,12.4,0.0,3.9072109375000004,0.0,0.0,38,75,25794.0,TECH,Software
COP,88.03,109.944389632,6653387,0.635,1.6666666666666667,0.0,3.3863828125000004,0.0,0.0,38,70,8803.0,SP500_HIGH_LIQUIDITY,Energy
XLF,53.11,46.919766016,37696501,1.0,4.0,0.0,5.469695312500001,0.0,0.0,38,70,5311.0,SP500_HIGH_LIQUIDITY,ETFs
XOM,115.39,491.936088064,14959253,0.484,2.8333333333333335,0.0,3.7119003906249994,0.0,0.0,38,70,11539.0,SP500_HIGH_LIQUIDITY,Energy
FCX,41.37,59.397971968,18718328,1.582,11.0,0.0,3.12596875,0.0,0.0,38,70,4137.0,METALS,Industrial Metals
DIA,472.21,38.363705344,5259529,1.0,5.625,0.0,2.065711495535714,0.0,0.0,38,70,47221.0,SP500_HIGH_LIQUIDITY,ETFs
MPC,196.22,59.654868992,1762062,0.883,29.75,0.0,4.102521484375001,0.0,0.0,24,70,19622.0,SP500_HIGH_LIQUIDITY,Energy
SBUX,86.09,97.858502656,9824576,0.998,13.5,0.0,3.9234868164062506,0.0,0.0,38,70,8609.0,SP500_HIGH_LIQUIDITY,Consumer
RTX,178.65,239.528902656,4508423,0.648,6.0,0.0,4.688453125,0.0,0.0,38,70,17865.0,SP500_HIGH_LIQUIDITY,Industrials
LMT,485.41,112.32280576,1457545,0.274,1.0,0.0,1.5634843750000003,0.0,0.0,38,70,48541.0,SP500_HIGH_LIQUIDITY,Industrials
TGT,94.26,42.831663104,7903746,1.177,1.6,0.0,4.14158359375,0.0,0.0,38,70,9426.0,SP500_HIGH_LIQUIDITY,Consumer
NXPI,219.16,55.253434368,2417806,1.447,8.0,0.0,4.688453125,0.0,0.0,38,70,21916.0,TECH,Semiconductors
LLY,825.45,739.980279808,4573118,0.461,2.6,0.0,5.157198437500001,0.0,0.0,38,70,82545.0,SP500_HIGH_LIQUIDITY,Healthcare
ABBV,227.99,402.757615616,5432765,0.507,,0.0,1.95410546875,0.0,0.0,38,70,22799.0,SP500_HIGH_LIQUIDITY,Healthcare
HPQ,27.66,25.853851648,10092976,1.3,2.0,0.0,3.12596875,0.0,0.0,38,70,2766.0,TECH,Hardware
PYPL,69.77,66.656751616,13014828,1.446,4.0,0.0,3.9072109375000004,0.0,0.0,38,70,6977.0,TECH,Cloud/SaaS
XLK,293.58,79.87019776,8549092,1.0,2.0,0.0,5.625943750000001,0.0,0.0,38,70,29358.0,SP500_HIGH_LIQUIDITY,ETFs
XLE,88.07,16.418361344,14879795,1.0,3.8333333333333335,0.0,2.2307954101562504,0.0,0.0,38,70,8807.0,SP500_HIGH_LIQUIDITY,ETFs
JNJ,190.4,458.729783296,8466356,0.392,4.5,0.0,2.3447265625,0.0,0.0,38,70,19040.0,SP500_HIGH_LIQUIDITY,Healthcare
MCD,305.79,218.213105664,3105893,0.504,1.0,0.0,2.0029331054687503,0.0,0.0,38,70,30579.000000000004,SP500_HIGH_LIQUIDITY,Consumer
T,25.14,178.720260096,37350412,0.624,1.6666666666666667,0.0,3.3863828125000004,0.0,0.0,38,70,2514.0,SP500_HIGH_LIQUIDITY,Telecom/Media
MRK,87.49,218.531053568,12252287,0.373,,0.0,5.07907421875,0.0,0.0,38,70,8749.0,SP500_HIGH_LIQUIDITY,Healthcare
ABT,126.85,220.777218048,5845178,0.696,5.0,0.0,3.9072109375000004,0.0,0.0,38,70,12685.0,SP500_HIGH_LIQUIDITY,Healthcare
AMGN,291.76,157.072457728,2255304,0.48,4.6,0.0,3.451486328125,0.0,0.0,31,70,29176.0,SP500_HIGH_LIQUIDITY,Healthcare
WMT,106.17,846.477590528,16461250,0.671,4.75,0.0,3.052727294921875,0.0,0.0,38,70,10617.0,SP500_HIGH_LIQUIDITY,Consumer
FNV,190.1,36.643569664,812892,0.594,25.0,0.0,3.9316247558593753,0.0,0.0,24,65,19010.0,METALS,Precious Metals
AEM,163.35,82.086109184,2930070,0.448,19.666666666666668,0.0,3.646796875,0.0,0.0,38,65,16335.0,METALS,Precious Metals
TECK,42.51,20.772829184,5491800,1.576,2.0,0.0,1.5634843750000003,0.0,0.0,38,65,4251.0,METALS,Industrial Metals
AA,39.42,10.20641792,6494071,2.197,26.666666666666668,0.0,4.102521484375001,0.0,0.0,38,65,3942.0,METALS,Industrial Metals
MT,39.12,29.750349824,1522129,1.711,2.0,0.0,3.3212792968750002,0.0,0.0,31,65,3911.9999999999995,METALS,Industrial Metals
STX,234.12,49.860128768,4044423,1.649,2.0,0.0,3.5165898437499994,0.0,0.0,38,65,23412.0,TECH,Hardware
NUE,138.7,31.836565504,1576048,1.762,,0.0,5.07907421875,0.0,0.0,31,65,13869.999999999998,METALS,Steel/Copper
CMC,61.08,6.777930752,1099229,1.32,14.666666666666666,0.0,6.771765625,0.0,0.0,24,65,6108.0,METALS,Steel/Copper
OXY,42.57,41.907601408,10369509,0.951,5.0,0.0,4.29783203125,0.0,0.0,38,65,4257.0,SP500_HIGH_LIQUIDITY,Energy
EOG,106.38,58.082779136,3335223,0.76,1.0,0.0,6.250937500000001,0.0,0.0,38,65,10638.0,SP500_HIGH_LIQUIDITY,Energy
SLB,35.83,53.52728576,15916150,0.975,3.0,0.0,3.9072109375000004,0.0,0.0,38,65,3583.0,SP500_HIGH_LIQUIDITY,Energy
WDC,129.43,44.368023552,8751942,1.834,2.6666666666666665,0.0,4.6884531250000006,0.0,0.0,38,65,12943.0,TECH,Hardware
MCHP,63.17,34.091565056,7970265,1.535,1.0,0.0,6.250937500000001,0.0,0.0,38,65,6317.0,TECH,Semiconductors
MSTR,289.08,82.99737088,11520410,3.846,11.0,0.0,3.9072109375000004,0.0,0.0,38,65,28908.0,TECH,Cloud/SaaS
NEM,83.37,90.978598912,10940360,0.356,8.5,0.0,3.7607280273437502,0.0,0.0,38,60,8337.0,METALS,Precious Metals
COIN,354.46,91.074297856,10038031,3.684,6.142857142857143,0.0,3.9072109375000004,0.0,0.0,38,60,35446.0,TECH,Cloud/SaaS
GDX,72.8,0.0,24231554,1.0,3.0,0.0,3.5165898437499994,0.0,0.0,38,60,7280.0,SP500_HIGH_LIQUIDITY,ETFs
CLF,13.13,6.495508992,25905885,1.965,2.0,0.0,6.250937500000001,0.0,0.0,38,55,1313.0,METALS,Industrial Metals
